         157938 function calls (157915 primitive calls) in 0.743 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      135    0.527    0.004    0.527    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.049    0.049    0.049    0.049 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.045    0.045    0.045    0.045 {method 'connect' of '_socket.socket' objects}
     1234    0.010    0.000    0.048    0.000 /usr/lib/python3.8/html/parser.py:301(parse_starttag)
    10218    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
        2    0.007    0.003    0.079    0.040 /usr/lib/python3.8/html/parser.py:134(goahead)
       96    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.005    0.005    0.648    0.648 financial_enhanced.py:22(GetPage)
        1    0.005    0.005    0.005    0.005 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     1235    0.004    0.000    0.012    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1068(__init__)
     1234    0.004    0.000    0.025    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:119(handle_starttag)
     1185    0.003    0.000    0.006    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/__init__.py:284(_replace_cdata_list_attribute_values)
     1234    0.003    0.000    0.020    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:678(handle_starttag)
     1160    0.003    0.000    0.015    0.000 /usr/lib/python3.8/html/parser.py:386(parse_endtag)
    20996    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
     1234    0.003    0.000    0.005    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:644(_popToTag)
     1250    0.002    0.000    0.008    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1980(search_tag)
     1235    0.002    0.000    0.003    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:527(pushTag)
     2703    0.002    0.000    0.007    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:541(endData)
     5031    0.002    0.000    0.003    0.000 /usr/lib/python3.8/_markupbase.py:48(updatepos)
     1449    0.002    0.000    0.005    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:2076(_matches)
     2233    0.002    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:158(setup)
     2242    0.002    0.000    0.011    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:2043(search)
     1234    0.002    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:513(popTag)
     3798    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
      778    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
       98    0.002    0.000    0.002    0.000 {built-in method zlib.crc32}
      504    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x906780}
     5248    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
       26    0.001    0.000    0.014    0.001 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:738(_find_all)
       55    0.001    0.000    0.226    0.004 {method 'read' of '_io.BufferedReader' objects}
