         179254 function calls (179197 primitive calls) in 0.879 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    22486    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
    10230    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
     8425    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     7173    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     6982    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     6565    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     5244    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     5026    0.002    0.000    0.004    0.000 /usr/lib/python3.8/_markupbase.py:48(updatepos)
     4863    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1419(__bool__)
     4727    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     4130    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     3809    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
3683/3674    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     2900    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     2703    0.002    0.000    0.008    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:541(endData)
     2703    0.001    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:478(string_container)
     2699    0.001    0.000    0.001    0.000 /usr/lib/python3.8/html/__init__.py:122(unescape)
     2682    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     2682    0.001    0.000    0.001    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
     2629    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     2281    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1802(descendants)
     2269    0.000    0.000    0.001    0.000 {built-in method builtins.next}
     2240    0.002    0.000    0.011    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:2043(search)
     2229    0.002    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:158(setup)
     1503    0.001    0.000    0.001    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1943(_normalize_search_value)
     1449    0.002    0.000    0.005    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:2076(_matches)
     1425    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
     1314    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1311    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1296    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/intranges.py:34(_decode_range)
     1273    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1250    0.002    0.000    0.008    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1980(search_tag)
     1245    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1235    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/__init__.py:195(can_be_empty_element)
     1235    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/__init__.py:434(set_up_substitutions)
     1235    0.004    0.000    0.012    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1068(__init__)
     1235    0.002    0.000    0.003    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:527(pushTag)
     1234    0.011    0.000    0.051    0.000 /usr/lib/python3.8/html/parser.py:301(parse_starttag)
     1234    0.001    0.000    0.006    0.000 /usr/lib/python3.8/html/parser.py:352(check_for_whole_start_tag)
     1234    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_markupbase.py:40(getpos)
     1234    0.003    0.000    0.024    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:119(handle_starttag)
     1234    0.001    0.000    0.001    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1184(is_empty_element)
     1234    0.001    0.000    0.011    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:171(handle_endtag)
     1234    0.003    0.000    0.020    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:678(handle_starttag)
     1234    0.001    0.000    0.010    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:716(handle_endtag)
     1234    0.003    0.000    0.005    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:644(_popToTag)
     1234    0.002    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:513(popTag)
     1193    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1185    0.003    0.000    0.006    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/__init__.py:284(_replace_cdata_list_attribute_values)
     1162    0.000    0.000    0.000    0.000 {built-in method unicodedata.bidirectional}
     1162    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_left}
     1162    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/intranges.py:31(_encode_range)
     1162    0.001    0.000    0.002    0.000 /usr/lib/python3/dist-packages/idna/intranges.py:38(intranges_contain)
     1160    0.000    0.000    0.000    0.000 /usr/lib/python3.8/html/parser.py:127(clear_cdata_mode)
     1160    0.003    0.000    0.016    0.000 /usr/lib/python3.8/html/parser.py:386(parse_endtag)
      784    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      733    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1376(get)
      702    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      699    0.000    0.000    0.002    0.000 {method 'encode' of 'str' objects}
      636    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:752(decode)
      607    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x906780}
      581    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      501    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:726(handle_data)
