         179518 function calls (179461 primitive calls) in 5.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      138    0.568    0.004    0.568    0.004 {built-in method _openssl.SSL_read}
        1    0.050    0.050    0.050    0.050 {built-in method _openssl.SSL_do_handshake}
        1    0.048    0.048    0.048    0.048 {method 'connect' of '_socket.socket' objects}
        1    0.012    0.012    0.012    0.012 {built-in method _openssl.SSL_CTX_load_verify_locations}
     1234    0.010    0.000    0.050    0.000 /usr/lib/python3.8/html/parser.py:301(parse_starttag)
    10231    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
       33    0.008    0.000    0.008    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        2    0.007    0.004    0.081    0.041 /usr/lib/python3.8/html/parser.py:134(goahead)
        1    0.004    0.004    0.004    0.004 /usr/lib/python3/dist-packages/requests/models.py:835(text)
     1235    0.004    0.000    0.012    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1068(__init__)
     1234    0.003    0.000    0.024    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:119(handle_starttag)
     1185    0.003    0.000    0.006    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/__init__.py:284(_replace_cdata_list_attribute_values)
     1234    0.003    0.000    0.019    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:678(handle_starttag)
     1160    0.003    0.000    0.015    0.000 /usr/lib/python3.8/html/parser.py:386(parse_endtag)
    22487    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
     1234    0.002    0.000    0.005    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:644(_popToTag)
      138    0.002    0.000    0.573    0.004 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:1795(recv_into)
     1235    0.002    0.000    0.003    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:527(pushTag)
     2703    0.002    0.000    0.008    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:541(endData)
     2229    0.002    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:158(setup)
     1250    0.002    0.000    0.007    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1980(search_tag)
     5026    0.002    0.000    0.003    0.000 /usr/lib/python3.8/_markupbase.py:48(updatepos)
     3809    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     1449    0.002    0.000    0.004    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:2076(_matches)
      244    0.002    0.000    0.008    0.000 /usr/lib/python3/dist-packages/idna/core.py:234(check_label)
     5244    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     1162    0.002    0.000    0.002    0.000 {built-in method _bisect.bisect_left}
      784    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     1234    0.002    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:513(popTag)
     1162    0.002    0.000    0.004    0.000 /usr/lib/python3/dist-packages/idna/intranges.py:38(intranges_contain)
     2240    0.002    0.000    0.010    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:2043(search)
     2703    0.001    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:478(string_container)
     2900    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     1234    0.001    0.000    0.005    0.000 /usr/lib/python3.8/html/parser.py:352(check_for_whole_start_tag)
