         179462 function calls (179405 primitive calls) in 0.777 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      133    0.539    0.004    0.539    0.004 {built-in method _openssl.SSL_read}
        1    0.046    0.046    0.046    0.046 {built-in method _openssl.SSL_do_handshake}
        1    0.043    0.043    0.043    0.043 {method 'connect' of '_socket.socket' objects}
     1234    0.011    0.000    0.051    0.000 /usr/lib/python3.8/html/parser.py:301(parse_starttag)
    10231    0.011    0.000    0.011    0.000 {method 'match' of 're.Pattern' objects}
        1    0.010    0.010    0.010    0.010 {built-in method _openssl.SSL_CTX_load_verify_locations}
        2    0.007    0.004    0.084    0.042 /usr/lib/python3.8/html/parser.py:134(goahead)
       33    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.004    0.004    0.004    0.004 {built-in method _socket.getaddrinfo}
     1235    0.004    0.000    0.012    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1068(__init__)
     1185    0.003    0.000    0.006    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/__init__.py:284(_replace_cdata_list_attribute_values)
     1234    0.003    0.000    0.025    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:119(handle_starttag)
     1234    0.003    0.000    0.020    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:678(handle_starttag)
     1160    0.003    0.000    0.016    0.000 /usr/lib/python3.8/html/parser.py:386(parse_endtag)
    22487    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
     1234    0.002    0.000    0.005    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:644(_popToTag)
     1235    0.002    0.000    0.003    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:527(pushTag)
        1    0.002    0.002    0.002    0.002 /usr/lib/python3/dist-packages/requests/models.py:835(text)
     1250    0.002    0.000    0.008    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1980(search_tag)
     2703    0.002    0.000    0.008    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:541(endData)
     5026    0.002    0.000    0.004    0.000 /usr/lib/python3.8/_markupbase.py:48(updatepos)
     5244    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     3809    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     2229    0.002    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:158(setup)
     1449    0.002    0.000    0.004    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:2076(_matches)
     1234    0.002    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:513(popTag)
      784    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     2240    0.002    0.000    0.011    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:2043(search)
      244    0.002    0.000    0.006    0.000 /usr/lib/python3/dist-packages/idna/core.py:234(check_label)
      133    0.001    0.000    0.542    0.004 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:1795(recv_into)
       26    0.001    0.000    0.013    0.001 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:738(_find_all)
     2900    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     2703    0.001    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:478(string_container)
     1162    0.001    0.000    0.003    0.000 /usr/lib/python3/dist-packages/idna/intranges.py:38(intranges_contain)
     1234    0.001    0.000    0.006    0.000 /usr/lib/python3.8/html/parser.py:352(check_for_whole_start_tag)
     8425    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     6998    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     1234    0.001    0.000    0.010    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:716(handle_endtag)
     7176    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      135    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:1608(_raise_ssl_error)
     4131    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     1234    0.001    0.000    0.011    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:171(handle_endtag)
       34    0.001    0.000    0.007    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:79(decompress)
      497    0.001    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:576(object_was_parsed)
     6565    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
        1    0.001    0.001    0.001    0.001 /home/se/.local/lib/python3.8/site-packages/urllib3/connectionpool.py:455(close)
      607    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x906780}
     4727    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       86    0.001    0.000    0.160    0.002 {method 'join' of 'bytes' objects}
     1234    0.001    0.000    0.001    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1184(is_empty_element)
     2699    0.001    0.000    0.001    0.000 /usr/lib/python3.8/html/__init__.py:122(unescape)
3707/3698    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     1503    0.001    0.000    0.001    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1943(_normalize_search_value)
      497    0.001    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:890(__new__)
      244    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/idna/core.py:67(check_bidi)
     1162    0.001    0.000    0.001    0.000 {built-in method _bisect.bisect_left}
     2682    0.001    0.000    0.001    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
     2682    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      133    0.001    0.000    0.543    0.004 /usr/lib/python3.8/socket.py:655(readinto)
     4863    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1419(__bool__)
     1235    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/__init__.py:195(can_be_empty_element)
      244    0.000    0.000    0.006    0.000 /usr/lib/python3/dist-packages/idna/core.py:291(ulabel)
     2269    0.000    0.000    0.001    0.000 {built-in method builtins.next}
       63    0.000    0.000    0.151    0.002 {method 'read' of '_io.BufferedReader' objects}
     2281    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1802(descendants)
       75    0.000    0.000    0.008    0.000 /usr/lib/python3/dist-packages/idna/core.py:340(encode)
      133    0.000    0.000    0.543    0.004 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:311(recv_into)
     2629    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     1235    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/__init__.py:434(set_up_substitutions)
     1296    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/intranges.py:34(_decode_range)
     1234    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_markupbase.py:40(getpos)
